x,y
-1.759013,-0.011385
-1.762808,0.001898
-1.760911,-0.007590
-1.760911,0.001898
-1.760911,0.003795
-1.759013,-0.007590
-1.759013,0.005693
-1.759013,0.000000
-1.760911,-0.003795
-1.759013,0.009488
-1.759013,0.011385
-1.759013,0.001898
-1.759013,0.013283
-1.757116,-0.015180
-1.757116,0.001898
-1.757116,-0.011385
-1.759013,0.007590
-1.757116,-0.013283
-1.760911,0.000000
-1.757116,0.000000
-1.757116,0.007590
-1.757116,-0.003795
-1.757116,-0.005693
-1.759013,-0.003795
-1.759013,-0.005693
-1.757116,0.015180
-1.759013,-0.001898
-1.757116,-0.007590
-1.757116,-0.001898
-1.757116,0.003795
-1.757116,0.005693
-1.757116,-0.009488
-1.755218,-0.009488
-1.755218,0.005693
-1.755218,-0.007590
-1.757116,0.009488
-1.757116,0.011385
-1.755218,-0.005693
-1.755218,0.001898
-1.755218,-0.003795
-1.755218,0.007590
-1.755218,-0.011385
-1.755218,0.009488
-1.755218,-0.001898
-1.753321,-0.011385
-1.753321,-0.009488
-1.755218,0.011385
-1.755218,0.000000
-1.755218,0.003795
-1.759013,-0.009488
-1.753321,0.001898
-1.753321,-0.005693
-1.753321,-0.003795
-1.753321,0.011385
-1.753321,0.000000
-1.753321,-0.007590
-1.751423,-0.007590
-1.751423,0.003795
-1.751423,-0.005693
-1.753321,0.003795
-1.753321,0.005693
-1.753321,0.007590
-1.751423,-0.009488
-1.757116,0.013283
-1.751423,0.009488
-1.751423,0.005693
-1.751423,0.007590
-1.749526,-0.005693
-1.749526,0.007590
-1.749526,-0.007590
-1.751423,0.001898
-1.753321,-0.001898
-1.753321,0.009488
-1.751423,0.000000
-1.749526,-0.001898
-1.749526,0.003795
-1.747628,-0.003795
-1.747628,0.000000
-1.751423,-0.003795
-1.745731,0.000000
-1.743833,0.000000
-1.741935,0.000000
-1.740038,0.000000
-1.738140,0.000000
-1.736243,0.000000
-1.747628,0.003795
-1.734345,0.000000
-1.732448,0.000000
-1.730550,0.000000
-1.749526,0.000000
-1.728653,0.000000
-1.726755,0.000000
-1.724858,0.000000
-1.722960,0.000000
-1.721063,0.000000
-1.719165,0.000000
-1.717268,0.000000
-1.715370,0.000000
-1.713472,0.000000
-1.711575,0.000000
-1.709677,0.000000
-1.707780,0.000000
-1.705882,0.000000
-1.703985,0.000000
-1.702087,0.000000
-1.700190,0.000000
-1.698292,0.000000
-1.696395,0.000000
-1.694497,0.000000
-1.692600,0.000000
-1.690702,0.000000
-1.688805,0.000000
-1.686907,0.000000
-1.685009,0.000000
-1.683112,0.000000
-1.681214,0.000000
-1.679317,0.000000
-1.677419,0.000000
-1.675522,0.000000
-1.673624,0.000000
-1.671727,0.000000
-1.669829,0.000000
-1.667932,0.000000
-1.666034,0.000000
-1.664137,0.000000
-1.662239,0.000000
-1.660342,0.000000
-1.658444,0.000000
-1.656546,0.000000
-1.654649,0.000000
-1.652751,0.000000
-1.650854,0.000000
-1.648956,0.000000
-1.647059,0.000000
-1.645161,0.000000
-1.643264,0.000000
-1.641366,0.000000
-1.639469,0.000000
-1.637571,0.000000
-1.635674,0.000000
-1.633776,0.000000
-1.631879,0.000000
-1.629981,0.000000
-1.628083,0.000000
-1.626186,0.000000
-1.626186,-0.001898
-1.749526,0.005693
-1.624288,-0.001898
-1.624288,0.000000
-1.624288,0.001898
-1.622391,0.000000
-1.620493,0.000000
-1.749526,-0.003795
-1.618596,0.000000
-1.616698,0.000000
-1.614801,0.000000
-1.612903,0.000000
-1.611006,0.000000
-1.609108,0.000000
-1.751423,-0.001898
-1.607211,0.000000
-1.605313,0.000000
-1.603416,0.000000
-1.601518,0.000000
-1.749526,0.001898
-1.599620,0.000000
-1.597723,0.000000
-1.595825,0.000000
-1.593928,0.000000
-1.592030,0.000000
-1.590133,0.000000
-1.626186,0.001898
-1.588235,0.000000
-1.586338,0.000000
-1.584440,0.000000
-1.582543,0.000000
-1.580645,0.000000
-1.578748,0.000000
-1.576850,0.000000
-1.574953,0.000000
-1.573055,0.000000
-1.571157,0.000000
-1.569260,0.000000
-1.567362,0.000000
-1.565465,0.000000
-1.563567,0.000000
-1.561670,0.000000
-1.559772,0.000000
-1.557875,0.000000
-1.555977,0.000000
-1.554080,0.000000
-1.552182,0.000000
-1.550285,0.000000
-1.548387,0.000000
-1.546490,0.000000
-1.544592,0.000000
-1.542694,0.000000
-1.540797,0.000000
-1.538899,0.000000
-1.537002,0.000000
-1.535104,0.000000
-1.533207,0.000000
-1.531309,0.000000
-1.529412,0.000000
-1.527514,0.000000
-1.525617,0.000000
-1.523719,0.000000
-1.521822,0.000000
-1.519924,0.000000
-1.518027,0.000000
-1.516129,0.000000
-1.514231,0.000000
-1.512334,0.000000
-1.510436,0.000000
-1.508539,0.000000
-1.506641,0.000000
-1.504744,0.000000
-1.502846,0.000000
-1.500949,0.000000
-1.499051,0.000000
-1.497154,0.000000
-1.495256,0.000000
-1.493359,0.000000
-1.491461,0.000000
-1.489564,0.000000
-1.487666,0.000000
-1.485769,0.000000
-1.483871,0.000000
-1.481973,0.000000
-1.480076,0.000000
-1.478178,0.001898
-1.478178,0.000000
-1.478178,-0.001898
-1.476281,0.000000
-1.476281,-0.003795
-1.476281,0.001898
-1.474383,-0.001898
-1.474383,0.000000
-1.476281,0.003795
-1.472486,0.000000
-1.470588,0.000000
-1.468691,0.000000
-1.466793,0.000000
-1.476281,-0.001898
-1.462998,0.000000
-1.461101,0.000000
-1.474383,0.001898
-1.459203,0.000000
-1.457306,0.000000
-1.455408,0.000000
-1.453510,0.000000
-1.451613,0.000000
-1.449715,0.000000
-1.447818,0.000000
-1.445920,0.000000
-1.444023,0.000000
-1.442125,0.000000
-1.440228,0.000000
-1.438330,0.000000
-1.436433,0.000000
-1.434535,0.000000
-1.432638,0.000000
-1.430740,0.000000
-1.428843,0.000000
-1.426945,0.000000
-1.425047,0.000000
-1.423150,0.000000
-1.421252,0.000000
-1.419355,0.000000
-1.417457,0.000000
-1.415560,0.000000
-1.413662,0.000000
-1.411765,0.000000
-1.409867,0.000000
-1.407970,0.000000
-1.406072,0.000000
-1.404175,0.000000
-1.402277,0.000000
-1.400380,0.000000
-1.398482,-0.001898
-1.398482,0.000000
-1.398482,0.001898
-1.396584,0.000000
-1.396584,-0.001898
-1.396584,0.001898
-1.394687,0.000000
-1.392789,-0.007590
-1.392789,0.003795
-1.392789,0.000000
-1.392789,-0.003795
-1.390892,-0.005693
-1.390892,0.007590
-1.390892,-0.007590
-1.392789,-0.001898
-1.392789,0.001898
-1.390892,0.003795
-1.390892,0.001898
-1.390892,-0.003795
-1.388994,-0.009488
-1.388994,-0.011385
-1.390892,-0.001898
-1.388994,0.005693
-1.390892,0.000000
-1.388994,-0.001898
-1.388994,0.003795
-1.388994,0.007590
-1.392789,0.007590
-1.388994,-0.007590
-1.388994,0.009488
-1.388994,0.011385
-1.388994,0.001898
-1.387097,-0.011385
-1.387097,-0.007590
-1.388994,0.000000
